credit_card,cpu,purchase_date
5399-3484-4724-7187,Intel Core i7-4518K,2020-03-26
1630-5261-6108-7631,AMD Ryzen 4 6578X,2017-12-10
4435-3866-1076-3595,Intel Core i6-8742K,2019-08-18
3489-7099-9906-8660,AMD Ryzen 6 2489X,2019-11-09
8631-4500-5666-1510,Intel Core i5-2743K,2020-04-06
1459-9918-1722-7369,AMD Ryzen 3 7431X,2017-11-13
6736-8932-8180-5826,Intel Core i3-1897K,2018-09-06
1270-8146-6857-9420,AMD Ryzen 7 9380X,2019-10-09
5909-1054-2911-2100,Intel Core i5-8589K,2019-11-23
6941-9738-3451-4231,AMD Ryzen 1 2750X,2018-12-26
7536-4552-2504-7339,Intel Core i5-8962K,2020-08-01
8095-3531-4870-7852,AMD Ryzen 5 3434X,2018-06-26
7896-9493-5595-1930,Intel Core i4-4783K,2017-12-13
3324-1139-8494-5870,AMD Ryzen 8 2261X,2020-01-07
9522-9375-2805-4424,Intel Core i7-9162K,2019-11-21
1714-9245-5760-6359,AMD Ryzen 3 4337X,2019-03-14
4408-4558-4472-8661,Intel Core i8-3272K,2018-02-16
4135-9194-7119-9359,AMD Ryzen 6 3377X,2018-11-13
2749-1400-7230-6588,Intel Core i9-2606K,2019-05-05
9010-5671-5941-3665,AMD Ryzen 6 3596X,2017-12-29
6345-2176-3318-9063,Intel Core i3-1366K,2019-08-05
5902-4401-4976-2224,AMD Ryzen 3 2794X,2018-05-24
3026-7354-5145-7765,Intel Core i4-1483K,2020-05-15
5027-1684-3271-9573,AMD Ryzen 9 1777X,2019-04-25
4266-4647-9544-7225,Intel Core i8-6512K,2019-06-05
5205-6735-1953-5341,AMD Ryzen 5 3228X,2019-08-06
5737-9277-9259-1227,Intel Core i9-3809K,2019-01-04
2487-1704-2828-6891,AMD Ryzen 7 6833X,2020-09-03
3234-7422-2410-8657,Intel Core i3-5713K,2018-12-02
1775-4054-6510-2611,AMD Ryzen 6 3240X,2019-09-30
9136-9469-1772-2059,Intel Core i4-5579K,2018-07-19
8464-3306-8207-9275,AMD Ryzen 9 3592X,2020-09-20
6447-6210-9155-9438,Intel Core i6-3355K,2019-02-03
3946-7275-5580-5057,AMD Ryzen 3 3386X,2020-08-14
9848-8618-5077-2154,Intel Core i1-1882K,2019-05-07
9532-3331-9347-8684,AMD Ryzen 6 4518X,2018-05-15
7006-6971-5842-4183,Intel Core i5-7648K,2019-09-30
